session_id,user_id,content_type,date,device,duration_min,watch_completion_pct
S132491,U11558,C1095,2022-11-13,Tablet,23.0,0.53
S449095,U11497,C1163,2024-05-11,Mobile,49.0,0.47
S366489,U11834,C1154,2021-09-08,Console,81.0,0.29
S984099,U10871,C1003,2023-02-03,Desktop,75.0,0.41
S471864,U11346,C1122,2024-02-01,Console,54.0,0.4
S668983,U11109,C1113,2020-12-04,Tablet,55.0,0.38
S479829,U12045,C1044,2023-08-15,TV,16.0,0.39
S546087,U10408,C1119,2024-11-18,TV,25.0,
S599355,U10560,C1016,2024-09-05,Tablet,60.0,0.34
S506681,U10266,C1157,2024-12-25,console,42.0,0.31
S186183,U10889,C1122,2023-08-13,Mobile,66.0,0.3
S670543,U10522,C1023,2023-04-06,Desktop,22.0,
S449151,U10039,C1014,2024-09-07,Desktop,61.0,
S749872,U11753,C1041,2024-11-05,Desktop,36.0,
S122173,U11091,C1082,2024-12-05,mobile,53.0,
S664343,U11668,C1191,2024-08-21,Console,34.0,
S326308,U10093,C1153,2023-02-24,Tablet,46.0,0.2
S707921,U11674,C1069,2021-11-25,Console,62.0,0.46
S880179,U11287,C1191,2024-12-31,Mobile,39.0,0.5
S896458,U10502,C1066,2022-11-07,TV,,
S671072,U10024,C1036,2025-01-12,Desktop,28.0,
S228123,U10771,C1101,2022-10-30,TV,17.0,0.39
S679942,U11054,C1019,2024-08-19,Tablet,52.0,
S563390,U11055,C1018,2024-12-06,Desktop,54.0,0.41
S347811,U10419,C1019,2024-02-08,TV,61.0,0.13
S701543,U11294,C1206,2024-10-15,Desktop,23.0,0.17
S772394,U11422,C1038,2024-08-14,TV,,0.51
S285297,U11934,C1159,2024-08-06,Desktop,25.0,0.19
S191387,U10614,C1162,2022-06-05,Console,20.0,0.37
S450716,U11094,C1124,2022-09-25,Desktop,55.0,0.24
S458300,U11823,C1118,2024-07-02,Console,49.0,0.22
S268010,U10198,C1186,2023-09-13,Tablet,46.0,
S528756,U10398,C1069,2024-10-14,Console,64.0,0.02
S964638,U10887,C1040,2024-10-03,Tablet,44.0,0.37
S478999,U10519,C1192,2024-07-12,TV,75.0,0.29
S917008,U12015,C1159,2022-06-09,Desktop,36.0,0.28
S386261,U10076,C1124,2024-10-16,Tablet,42.0,
S810187,U10824,C1037,2023-05-17,TV,62.0,0.79
S894593,U11184,C1061,2024-11-21,Tablet,104.0,0.42
S775806,U10309,C1111,2023-09-18,Tablet,,
S251537,U11673,C1155,2024-11-27,Desktop,126.0,
S712453,U11016,C1121,2024-02-06,Desktop,89.0,0.04
S219794,U11582,C1186,2023-03-16,Mobile,63.0,0.73
S355347,U11686,C1040,2024-01-03,Mobile,81.0,
S167977,U10130,C1097,2025-01-08,Tablet,54.0,0.16
S301687,U10150,C1003,2023-09-16,Mobile,65.0,0.31
S956888,U11639,C1066,2024-10-08,Tablet,27.0,0.41
S214350,U10975,C1007,2025-01-04,Desktop,,0.14
S322002,U10547,C1162,2023-03-05,Desktop,93.0,0.34
S690687,U11757,C1086,2022-07-24,Mobile,37.0,0.32
S592718,U11838,C1185,2023-06-13,Desktop,14.0,
S726476,U11968,C1101,2024-10-13,Mobile,82.0,0.58
S599399,U11560,C1077,2022-07-25,Console,59.0,0.79
S342046,U10908,C1208,2023-11-13,Tablet,43.0,0.26
S175912,U10452,C1049,2024-03-24,TV,47.0,0.14
S576667,U10524,C1203,2023-03-13,Desktop,,
S631970,U10238,C1050,2024-04-16,Console,103.0,0.73
S794434,U10604,C1139,2024-06-01,Tablet,35.0,0.32
S138820,U10967,C1067,2023-06-19,TV,71.0,
S358918,U12052,C1037,2024-01-06,TV,48.0,0.34
S347204,U10520,C1202,2022-05-20,Tablet,22.0,0.31
S464009,U12050,C1185,2023-09-24,Desktop,83.0,0.72
S797605,U11521,C1101,2024-11-30,Mobile,43.0,0.36
S747258,U10529,C1197,2023-10-25,Desktop,43.0,0.38
S180645,U12027,C1084,2024-10-23,Console,46.0,
S806763,U11804,C1136,2022-12-22,Desktop,67.0,
S685769,U10092,C1027,2024-09-01,Desktop,33.0,
S273846,U11704,C1065,2024-12-15,Mobile,25.0,0.35
S687388,U11250,C1140,2023-03-31,Mobile,48.0,
S271208,U11854,C1166,2022-02-12,Tablet,94.0,0.49
S391053,U10030,C1223,2024-08-30,TV,92.0,0.25
S113229,U11109,C1089,2024-06-15,Tablet,75.0,
S171904,U11623,C1200,2022-10-24,Tablet,47.0,
S736820,U10651,C1122,2024-09-05,TV,24.0,
S359609,U11002,C1179,2020-12-23,Desktop,112.0,
S194506,U12024,C1133,2021-12-29,Console,29.0,
S500799,U10257,C1068,2022-02-04,Console,83.0,0.52
S679073,U11204,C1045,2023-06-16,mobile,,0.31
S626952,U11651,C1090,2024-04-08,Console,34.0,
S890051,U11108,C1084,2024-12-08,Mobile,37.0,
S438190,U10408,C1139,2024-12-21,Console,62.0,0.32
S117386,U11206,C1145,2023-11-22,Mobile,53.0,0.66
S425491,U10429,C1192,2024-12-09,Console,33.0,0.1
S134874,U11133,C1083,2024-01-29,Tablet,55.0,0.01
S711796,U11561,C1169,2024-11-28,TV,20.0,0.59
S846990,U11124,C1034,2024-11-07,Desktop,91.0,0.17
S631081,U11533,C1032,2024-08-16,Desktop,86.0,
S221244,U10353,C1017,2024-06-22,tablet,39.0,0.65
S613253,U10645,C1172,2024-09-20,TV,31.0,0.67
S742526,U10899,C1020,2023-01-10,Console,75.0,0.32
S619420,U10493,C1092,2023-01-26,TV,25.0,0.44
S550551,U10466,C1052,2024-03-05,TV,78.0,0.43
S499464,U11404,C1067,2025-01-20,Desktop,42.0,
S980908,U10939,C1085,2024-10-15,Desktop,45.0,0.43
S729772,U11534,C1171,2022-12-04,Mobile,41.0,0.71
S564173,U10039,C1071,2022-01-11,Desktop,41.0,
S121198,U12047,C1159,2023-06-03,Desktop,26.0,0.3
S458930,U11085,C1215,2023-01-19,Mobile,41.0,0.63
S947586,U11650,C1196,2024-09-17,Console,60.0,0.17
S777942,U11465,C1154,2022-01-22,Tablet,90.0,0.59
S215936,U10487,C1027,2024-02-08,Console,28.0,0.31
S609981,U10872,C1044,2022-01-03,TV,,0.34
S949465,U10890,C1107,2024-03-01,Tablet,40.0,
S727718,U11269,C1059,2024-05-21,Desktop,55.0,0.42
S822987,U10727,C1158,2023-01-13,Tablet,92.0,
S974425,U10620,C1018,2022-12-05,TV,15.0,0.59
S276875,U11963,C1110,2024-08-06,Mobile,42.0,0.74
S414037,U11564,C1001,2024-04-01,Tablet,19.0,0.08
