user_id,date,revenue_usd,ad_impressions,ad_revenue_usd
U00118,2024-03-30,16.04,69,1.05
U00879,2023-05-31,9.75,21,0.76
U00672,2023-07-20,16.12,1562,16.12
U00205,2023-01-23,0.0,0,0.0
U00728,2024-08-29,0.0,0,0.0
U01552,2024-07-10,0.0,0,0.0
U01582,2024-04-14,0.0,0,0.0
U00438,2024-03-21,9.53,697,9.53
U01971,2023-03-08,0.0,0,0.0
U01221,2023-11-12,0.0,0,0.0
U01467,2024-06-14,26.35,757,7.86
U01074,2024-12-14,0.0,0,0.0
U01714,2024-12-05,14.04,253,2.55
,2023-10-08,6.09,446,6.09
U00499,2023-01-26,0.0,0,0.0
U00495,2024-02-27,24.38,765,24.38
U01704,2023-03-30,5.4,531,5.4
U00071,2023-02-24,33.61,1047,33.61
U01212,2023-05-27,0.0,0,0.0
U01897,2023-11-16,1.26,80,1.26
U00962,2024-09-16,42.26,6099,42.26
U01445,2024-06-22,0.0,0,0.0
U00211,2024-09-06,0.0,0,0.0
U01694,2023-07-21,5.46,133,5.46
U01150,2024-10-26,0.0,0,0.0
U00952,2024-11-23,54.51,1235,40.02
U00920,2024-08-08,16.49,0,0.0
U00465,2024-08-23,0.0,0,0.0
U00470,2023-01-15,0.0,0,0.0
U00490,2023-07-06,33.18,595,19.19
U01492,2023-08-02,0.0,0,0.0
U01374,2024-09-25,0.0,0,0.0
U01205,2024-02-14,0.0,0,0.0
U00136,2024-05-03,0.0,0,0.0
U01650,2023-07-15,0.0,0,0.0
U00924,2024-03-12,0.0,0,0.0
U01798,2023-07-31,0.0,0,0.0
U00963,2023-05-27,0.0,0,0.0
U01114,2024-11-07,3.6,291,3.6
U01224,2024-08-02,0.0,0,0.0
U00090,2024-01-04,0.0,0,0.0
U01873,2024-09-23,0.0,0,0.0
U01320,2023-12-26,0.0,0,0.0
U00082,2023-01-27,0.0,0,0.0
U01017,2023-01-13,3.57,239,3.57
U01217,2024-06-20,41.54,3251,41.54
U00346,2023-11-23,49.79,1415,49.79
U01343,2023-05-15,0.0,0,0.0
U01184,2024-09-21,1.06,129,1.06
U01056,2024-01-14,0.0,0,0.0
U01348,2024-12-21,0.0,0,0.0
U01400,2024-03-19,0.77,55,0.77
U00637,2023-09-14,0.0,0,0.0
U01272,2024-07-07,1.22,167,1.22
U00342,2024-05-28,0.0,0,0.0
U00640,2024-03-23,18.88,829,18.88
U00937,2023-09-18,11.31,272,11.31
U01428,2024-11-11,0.0,0,0.0
U00020,2024-07-05,0.0,0,0.0
U01934,2023-04-07,11.49,0,0.0
U00918,2023-08-25,1.59,203,1.59
U01418,2024-09-22,0.0,0,0.0
U01182,2023-05-21,1.7,294,1.7
U01229,2024-04-06,0.0,0,0.0
U00539,2023-10-04,0.0,0,0.0
U00218,2023-07-18,0.0,0,0.0
U00732,2023-08-10,25.06,951,25.06
U00116,2024-04-21,0.46,286,0.46
U01608,2024-08-04,24.94,2479,24.94
U00127,2023-10-28,0.0,0,0.0
U01444,2023-11-29,23.54,718,23.54
U00026,2024-03-23,15.54,1241,5.55
U01953,2023-09-13,0.0,0,0.0
U01692,2023-08-17,3.35,226,3.35
U00921,2023-04-18,0.0,0,0.0
U00834,2024-10-10,29.94,730,13.45
U01786,2023-03-07,0.0,0,0.0
U00866,2024-07-30,9.99,0,0.0
U01667,2024-08-06,0.0,0,0.0
U00269,2024-06-25,0.0,0,0.0
U00979,2024-01-05,29.39,863,29.39
U01906,2024-10-16,1.28,122,1.28
U00098,2024-06-24,3.62,153,3.62
U00545,2024-06-26,0.0,0,0.0
U00223,2023-10-02,0.0,0,0.0
U00368,2024-10-18,0.0,0,0.0
U00424,2023-12-04,0.0,0,0.0
U00349,2023-04-12,3.01,381,3.01
U00016,2024-01-04,0.0,0,0.0
U01178,2023-09-24,0.0,0,0.0
U01823,2023-05-11,0.0,0,0.0
U01907,2024-01-24,0.0,0,0.0
,2023-01-07,10.46,343,10.46
U01088,2023-01-10,0.0,0,0.0
U01626,2023-03-29,0.0,0,0.0
U00381,2023-11-19,0.0,0,0.0
U00154,2024-12-23,0.0,0,0.0
U00867,2024-07-30,1.03,49,1.03
