session_id,user_id,date,device,duration,title_id
S000001,U00661,2025-01-19,pc,8.0,T0061
S000002,U00192,2022-02-12,phone,22.0,T0117
S000003,U00911,2025-09-24,tv,52.0,T0145
S000004,U00747,2024-07-08,phone,17.0,T0025
S000005,U00651,2022-02-06,phone,81.0,T0048
S000006,U00644,2023-08-18,phone,15.0,T0151
S000007,U00898,2023-10-14,tv,26.0,T0162
S000008,U00926,2025-02-14,phone,17.0,T0031
S000009,U00584,2025-02-26,tv,1.0,T0178
S000010,U00404,2024-04-15,pc,1.0,T0174
S000011,U00351,2024-07-04,pc,1.0,T0174
S000012,U00809,2025-03-20,phone,11.0,T0049
S000013,U00638,2025-01-10,tv,4.0,T0134
S000014,U00078,2025-04-20,tv,72.0,T0033
S000015,U00143,2025-01-04,,3.0,T0040
S000016,U00891,2025-03-26,tv,4.0,T0015
S000017,U00872,2023-10-23,tv,124.0,T0099
S000018,U00950,2025-10-25,phone,23.0,T0143
S000019,U00415,2025-02-09,phone,31.0,T0040
S000020,U00776,2021-01-27,pc,13.0,T0038
S000021,U00817,2023-01-21,tv,1.0,T0056
S000022,U00301,2024-02-09,phone,3.0,T0040
S000023,U00147,2022-07-27,,9.0,T0167
S000024,U00998,2024-12-06,tv,17.0,T0034
S000025,U00031,2022-10-26,tv,28.0,T0056
S000026,U00587,2024-06-09,tv,2.0,T0062
S000027,U00643,2024-02-29,tv,67.0,T0041
S000028,U00675,2022-06-03,tv,20.0,T0189
S000029,U00242,2024-10-18,phone,15.0,T0042
S000030,U00715,2022-10-16,phone,21.0,T0098
S000031,U00202,2023-08-25,tv,7.0,T0114
S000032,U00819,2024-07-26,phone,12.0,T0053
S000033,U00204,2022-09-15,pc,51.0,T0095
S000034,U00689,2024-08-24,tv,35.0,T0035
S000035,U00776,2022-10-05,pc,27.0,T0097
S000036,U00182,2024-02-10,tv,12.0,T0004
S000037,U00223,2025-08-30,tv,10.0,T0088
S000038,U00771,2024-01-09,phone,21.0,T0073
S000039,U00091,2025-07-24,phone,40.0,T0071
S000040,U00183,2023-07-02,pc,1.0,T0023
S000041,U00445,2024-09-17,tv,68.0,T0200
S000042,U00928,2022-12-26,phone,23.0,T0006
S000043,U00547,2024-06-24,phone,8.0,T0030
S000044,U00376,2023-11-02,,13.0,T0021
S000045,U00976,2023-01-07,tv,66.0,T0196
S000046,U00452,2024-08-28,phone,14.0,T0064
S000047,U00424,2022-02-12,tv,4.0,T0087
S000048,U00401,2024-05-14,pc,20.0,T0151
S000049,U00297,2023-12-14,tv,2.0,T0011
S000050,U00310,2024-05-02,phone,9.0,T0014
S000051,U00683,2023-12-21,pc,45.0,T0037
S000052,U00040,2022-04-02,pc,22.0,T0136
S000053,U00675,2024-09-08,tv,28.0,T0196
S000054,U00188,2024-04-18,tv,7.0,T0125
S000055,U00372,2024-02-26,pc,16.0,T0175
S000056,U00149,2020-08-23,phone,50.0,T0177
S000057,U00535,2024-11-07,pc,7.0,T0056
S000058,U00723,2024-11-15,pc,6.0,T0037
S000059,U00342,2023-06-30,tv,1.0,T0033
S000060,U00162,2023-12-05,phone,6.0,T0159
S000061,U00212,2024-05-03,phone,2.0,T0134
S000062,U00808,2022-02-04,pc,1.0,T0173
S000063,U00252,2021-07-20,phone,3.0,T0102
S000064,U00767,2021-04-17,tv,100.0,T0196
S000065,U00319,2022-01-09,tv,27.0,T0179
S000066,U00182,2023-03-07,,1.0,T0162
S000067,U00722,2022-08-23,tv,48.0,T0161
S000068,U00457,2022-01-31,phone,19.0,T0025
S000069,U00031,2022-07-28,tv,77.0,T0149
S000070,U00962,2024-09-17,phone,55.0,T0190
S000071,U00151,2021-04-26,tv,1.0,T0059
S000072,U00340,2024-10-08,phone,13.0,T0163
S000073,U00372,2023-08-16,tv,9.0,T0071
S000074,U00478,2021-04-25,pc,1.0,T0043
S000075,U00777,2024-08-10,tv,13.0,T0147
S000076,U00006,2021-03-10,phone,22.0,T0034
S000077,U00930,2024-05-12,tv,16.0,T0097
S000078,U00639,2023-10-13,pc,12.0,T0188
S000079,U00949,2024-05-30,phone,6.0,T0032
S000080,U00805,2025-05-18,pc,28.0,T0032
S000081,U00926,2025-09-07,tv,1.0,T0189
S000082,U00590,2024-12-04,phone,6.0,T0156
S000083,U00345,2024-10-15,tv,1.0,T0093
S000084,U00431,2025-01-06,,70.0,T0082
S000085,U00651,2022-01-24,phone,12.0,T0193
S000086,U00414,2025-07-04,pc,12.0,T0145
S000087,U00726,2025-03-01,tv,4.0,T0182
S000088,U00099,2022-06-08,phone,12.0,T0019
S000089,U00821,2021-04-07,tv,13.0,T0107
S000090,U00192,2022-03-02,pc,34.0,T0146
S000091,U00943,2024-09-12,tv,1.0,T0008
S000092,U00155,2025-01-29,phone,72.0,T0103
S000093,U00130,2024-05-06,phone,11.0,T0012
S000094,U00801,2022-06-29,tv,7.0,T0181
S000095,U00809,2024-04-16,tv,9.0,T0137
S000096,U00734,2024-03-06,pc,7.0,T0038
S000097,U00962,2025-05-11,pc,3.0,T0105
S000098,U00254,2025-08-30,tv,8.0,T0022
S000099,U00816,2024-04-30,tv,60.0,T0161
S000100,U00338,2024-03-28,pc,11.0,T0040
S000101,U00519,2022-07-25,phone,21.0,T0122
S000102,U00433,2023-11-07,pc,49.0,T0016
S000103,U00006,2020-12-08,phone,1.0,T0032
S000104,U00557,2024-01-05,pc,16.0,T0197
S000105,U00742,2025-01-07,tv,5.0,T0078
S000106,U00171,2025-05-25,tv,1.0,T0025
S000107,U00929,2024-10-04,tv,1.0,T0140
S000108,U00512,2021-12-24,pc,9.0,T0041
S000109,U00176,2022-04-19,tv,1.0,T0118
S000110,U00639,2021-12-11,phone,7.0,T0162
S000111,U00183,2020-07-27,phone,11.0,T0137
S000112,U00065,2025-07-13,phone,1.0,T0050
S000113,U00679,2024-10-19,phone,3.0,T0048
S000114,U00114,2025-01-26,tv,11.0,T0045
S000115,U00112,2025-07-14,tv,1.0,T0127
S000116,U00735,2024-12-02,phone,3.0,T0135
S000117,U00055,2025-01-31,pc,1.0,T0105
S000118,U00799,2023-08-13,tv,4.0,T0080
S000119,U00788,2024-05-23,phone,11.0,T0013
S000120,U00143,2025-05-21,pc,7.0,T0168
S000121,U00498,2025-01-13,phone,1.0,T0133
S000122,U00102,2023-06-23,tv,38.0,T0128
S000123,U00623,2021-06-08,tv,11.0,T0021
S000124,U00063,2023-06-05,phone,5.0,T0058
S000125,U00943,2024-12-31,phone,4.0,T0061
S000126,U00196,2022-09-09,tv,5.0,T0120
S000127,U00675,2022-12-19,pc,1.0,T0158
S000128,U00130,2024-06-03,tv,11.0,T0174
S000129,U00197,2022-04-09,tv,9.0,T0105
S000130,U00439,2025-01-19,pc,24.0,T0073
S000131,U00554,2021-10-20,pc,7.0,T0082
S000132,U00999,2025-04-13,phone,42.0,T0148
S000133,U00028,2023-09-28,pc,7.0,T0064
S000134,U00002,2020-10-29,phone,1.0,T0084
S000135,U00338,2023-10-17,pc,1.0,T0158
S000136,U00352,2023-05-12,tv,47.0,T0109
S000137,U00870,2022-02-02,tv,32.0,T0094
S000138,U00909,2024-02-12,pc,60.0,T0147
S000139,U00867,2023-04-07,tv,16.0,T0058
S000140,U00144,2023-08-20,pc,2.0,T0013
S000141,U00401,2023-09-15,phone,1.0,T0158
S000142,U00740,2024-10-04,tv,29.0,T0091
S000143,U00298,2023-03-23,pc,3.0,T0066
S000144,U00657,2023-09-24,phone,4.0,T0020
S000145,U00223,2025-04-27,tv,14.0,T0186
S000146,U00309,2023-05-22,tv,1.0,T0146
S000147,U00852,2025-05-02,tv,4.0,T0055
S000148,U00237,2023-02-02,,1.0,T0122
S000149,U00964,2025-07-04,pc,60.0,T0093
S000150,U00293,2020-09-06,tv,4.0,T0066
S000151,U00024,2022-09-23,pc,1.0,T0063
S000152,U00242,2024-11-22,phone,89.0,T0016
S000153,U00169,2024-11-13,phone,11.0,T0195
S000154,U00493,2020-12-20,tv,9.0,T0186
S000155,U00116,2022-02-27,tv,9.0,T0175
S000156,U00615,2025-02-13,tv,13.0,T0064
S000157,U00863,2024-12-08,tv,1.0,T0200
S000158,U00349,2025-04-23,phone,8.0,T0056
S000159,U00167,2025-04-20,pc,6.0,T0165
S000160,U00387,2023-01-30,tv,10.0,T0021
S000161,U00777,2024-08-30,phone,5.0,T0063
S000162,U00577,2024-12-13,phone,35.0,T0116
S000163,U00106,2022-08-29,phone,14.0,T0194
S000164,U00519,2022-03-23,tv,2.0,T0054
S000165,U00457,2024-04-16,phone,1.0,T0087
S000166,U00313,2023-05-28,tv,1.0,T0169
S000167,U00113,2022-08-06,tv,9.0,T0095
S000168,U00977,2022-10-24,phone,1.0,T0137
S000169,U00173,2025-09-08,tv,98.0,T0084
S000170,U00183,2024-07-11,tv,10.0,T0001
S000171,U00147,2022-04-16,tv,3.0,T0057
S000172,U00552,2023-12-31,pc,11.0,T0114
S000173,U00432,2020-11-13,tv,4.0,T0004
S000174,U00234,2022-03-31,phone,1.0,T0047
S000175,U00418,2025-06-22,tv,9.0,T0191
S000176,U00666,2024-06-08,phone,10.0,T0004
S000177,U00265,2024-08-11,tv,20.0,T0050
S000178,U00912,2024-11-23,pc,65.0,T0124
S000179,U00293,2020-06-26,pc,73.0,T0113
S000180,U00186,2025-01-06,phone,40.0,T0041
S000181,U00953,2024-08-15,tv,10.0,T0012
S000182,U00800,2023-10-26,phone,10.0,T0180
S000183,U00333,2025-01-22,phone,108.0,T0111
S000184,U00833,2024-02-22,pc,83.0,T0115
S000185,U00499,2024-04-06,tv,17.0,T0012
S000186,U00335,2023-10-31,tv,1.0,T0042
S000187,U00832,2023-03-25,tv,14.0,T0015
S000188,U00746,2025-03-17,tv,46.0,T0196
S000189,U00281,2022-05-31,tv,37.0,T0154
S000190,U00595,2025-01-03,pc,7.0,T0110
S000191,U00355,2023-08-18,tv,8.0,T0137
S000192,U00003,2024-07-19,phone,16.0,T0034
S000193,U00962,2025-07-09,tv,1.0,T0198
S000194,U00533,2024-06-08,phone,1.0,T0104
S000195,U00588,2025-04-23,phone,1.0,T0104
S000196,U00590,2023-03-18,phone,54.0,T0192
S000197,U00534,2022-11-10,phone,6.0,T0020
S000198,U00273,2024-08-24,pc,19.0,T0085
S000199,U00970,2022-02-25,tv,5.0,T0018
S000200,U00613,2025-10-16,phone,33.0,T0086
S000201,U00664,2024-01-28,pc,13.0,T0054
S000202,U00445,2024-07-17,tv,28.0,T0093
S000203,U00271,2024-03-17,pc,11.0,T0141
S000204,U00065,2024-12-05,pc,1.0,T0057
S000205,U00338,2024-05-08,phone,2.0,T0011
S000206,U00173,2022-02-21,tv,11.0,T0033
S000207,U00656,2025-06-21,tv,1.0,T0144
S000208,U00866,2025-11-01,pc,7.0,T0116
S000209,U00288,2025-02-02,tv,37.0,T0196
S000210,U00322,2023-02-14,tv,2.0,T0179
S000211,U00664,2024-09-06,phone,103.0,T0033
S000212,U00151,2024-03-08,tv,61.0,T0148
S000213,U00927,2024-09-16,pc,3.0,T0019
S000214,U00351,2024-08-13,phone,20.0,T0020
S000215,U00106,2022-10-03,tv,16.0,T0159
S000216,U00171,2024-12-10,tv,4.0,T0081
S000217,U00931,2021-05-07,phone,3.0,T0200
S000218,U00230,2025-06-11,tv,35.0,T0002
S000219,U00656,2023-02-07,,9.0,T0101
S000220,U00156,2023-05-17,phone,20.0,T0062
S000221,U00185,2022-04-29,tv,5.0,T0198
S000222,U00866,2024-08-17,phone,5.0,T0134
S000223,U00151,2024-08-01,tv,1.0,T0155
S000224,U00019,2024-07-03,tv,1.0,T0059
S000225,U00488,2022-01-30,tv,3.0,T0179
S000226,U00853,2023-08-26,tv,55.0,T0169
S000227,U00311,2024-02-09,phone,32.0,T0157
S000228,U00129,2023-01-17,tv,2.0,T0096
S000229,U00977,2020-12-09,tv,10.0,T0185
S000230,U00669,2020-07-20,pc,41.0,T0134
S000231,U00842,2021-11-27,phone,1.0,T0014
S000232,U00746,2023-04-22,phone,10.0,T0177
S000233,U00690,2023-03-10,phone,13.0,T0005
S000234,U00372,2024-11-09,phone,1.0,T0137
S000235,U00309,2023-04-21,phone,32.0,T0050
S000236,U00707,2024-10-24,phone,12.0,T0180
S000237,U00706,2021-10-31,phone,1.0,T0146
S000238,U00949,2022-09-23,pc,5.0,T0162
S000239,U00551,2024-02-12,pc,1.0,T0140
S000240,U00279,2025-01-29,phone,28.0,T0114
S000241,U00478,2020-11-25,pc,24.0,T0173
S000242,U00602,2025-07-26,tv,13.0,T0060
S000243,U00414,2024-12-31,tv,13.0,T0106
S000244,U00782,2021-01-22,pc,33.0,T0060
S000245,U00572,2022-06-24,tv,7.0,T0023
S000246,U00010,2024-05-11,pc,13.0,T0176
S000247,U00551,2024-02-17,tv,1.0,T0100
S000248,U00623,2025-08-18,phone,17.0,T0011
S000249,U00912,2024-12-19,phone,56.0,T0166
S000250,U00401,2022-06-19,phone,16.0,T0189
S000251,U00557,2024-12-08,pc,6.0,T0133
S000252,U00463,2023-12-06,pc,7.0,T0066
S000253,U00514,2023-09-05,pc,19.0,T0172
S000254,U00069,2022-07-24,tv,94.0,T0148
S000255,U00888,2021-06-23,phone,1.0,T0057
S000256,U00904,2021-11-28,tv,5.0,T0067
S000257,U00530,2024-10-04,phone,17.0,T0198
S000258,U00539,2025-01-11,tv,10.0,T0191
S000259,U00057,2023-07-20,tv,15.0,T0136
S000260,U00588,2022-12-20,phone,1.0,T0008
S000261,U00417,2024-05-08,tv,10.0,T0046
